Sr No,Name,Symbol,Date,Day,DDay,Month,Year,High,Low,Open,Close,Volume,Marketcap
2765,Tether,USDT,7/30/2018,30,30-Jul,Jul,2018,1.00715,0.993987,0.999317,0.99891,4311410000,2504407563
2766,Tether,USDT,7/31/2018,31,31-Jul,Jul,2018,1.00755,0.99534,0.999708,0.999507,3253100000,2460926510
2767,Tether,USDT,8/1/2018,1,1-Aug,Aug,2018,1.00445,0.994754,0.999215,0.999409,3059190000,2395723636
2768,Tether,USDT,8/2/2018,2,2-Aug,Aug,2018,1.00277,0.995199,0.998746,1.00066,2539460000,2418735658
2769,Tether,USDT,8/3/2018,3,3-Aug,Aug,2018,1.00409,0.995755,1.00138,0.999095,2843800000,2434934734
2770,Tether,USDT,8/4/2018,4,4-Aug,Aug,2018,1.00456,0.993336,1.00019,0.998505,2526060000,2433496821
2771,Tether,USDT,8/5/2018,5,5-Aug,Aug,2018,1.00261,0.996254,0.997972,0.999347,2204100000,2435548893
2772,Tether,USDT,8/6/2018,6,6-Aug,Aug,2018,1.0032,0.998169,1.00184,1.00095,2336390000,2439455629
2773,Tether,USDT,8/7/2018,7,7-Aug,Aug,2018,1.02623,0.995265,0.999416,1.00154,2942000000,2440893542
2774,Tether,USDT,8/8/2018,8,8-Aug,Aug,2018,1.01703,0.991345,1.00164,1.00169,3421800000,2411208413
2775,Tether,USDT,8/9/2018,9,9-Aug,Aug,2018,1.0068,0.979456,1.00074,1.00424,2626630000,2417346621
2776,Tether,USDT,8/10/2018,10,10-Aug,Aug,2018,1.01462,0.991889,1.00134,1.00158,2887490000,2410943627
2777,Tether,USDT,8/11/2018,11,11-Aug,Aug,2018,1.00985,0.978541,1.00034,1.00985,2630390000,2430850678
2778,Tether,USDT,8/12/2018,12,12-Aug,Aug,2018,1.00728,0.99493,1.00587,1.00049,4066320000,2408319844
2779,Tether,USDT,8/13/2018,13,13-Aug,Aug,2018,1.02054,0.994659,1.00092,1.00393,2596380000,2416600407
2780,Tether,USDT,8/14/2018,14,14-Aug,Aug,2018,1.01792,0.991974,1.00433,0.997543,3917750000,2401226002
2781,Tether,USDT,8/15/2018,15,15-Aug,Aug,2018,1.00841,0.993253,0.99503,1.00125,3277720000,2410149271
2782,Tether,USDT,8/16/2018,16,16-Aug,Aug,2018,1.01058,0.993986,1.00054,1.00122,2741290000,2410077057
2783,Tether,USDT,8/17/2018,17,17-Aug,Aug,2018,1.012,0.994058,1.0039,0.997761,3783430000,2696090243
2784,Tether,USDT,8/18/2018,18,18-Aug,Aug,2018,1.014,0.996478,1.00242,1.00286,3247510000,2729925657
2785,Tether,USDT,8/19/2018,19,19-Aug,Aug,2018,1.00822,0.996864,1.00537,1.00052,2622560000,2723555849
2786,Tether,USDT,8/20/2018,20,20-Aug,Aug,2018,1.01739,0.997007,1.00019,1.00539,2596870000,2736812672
2787,Tether,USDT,8/21/2018,21,21-Aug,Aug,2018,1.00827,0.995364,1.00814,1.0007,2350790000,2824115834
2788,Tether,USDT,8/22/2018,22,22-Aug,Aug,2018,1.01178,0.981115,1.00049,1.00035,3325510000,2823128085
2789,Tether,USDT,8/23/2018,23,23-Aug,Aug,2018,1.00425,0.993635,1.00135,0.998976,2392970000,2789281184
2790,Tether,USDT,8/24/2018,24,24-Aug,Aug,2018,1.00896,0.994293,0.998429,1.00178,2850500000,2797110345
2791,Tether,USDT,8/25/2018,25,25-Aug,Aug,2018,1.00382,0.995268,0.998537,1.001,1958700000,2794932476
2792,Tether,USDT,8/26/2018,26,26-Aug,Aug,2018,1.00795,0.99775,1.00321,0.999227,1946530000,2789982011
2793,Tether,USDT,8/27/2018,27,27-Aug,Aug,2018,1.00641,0.983211,1.00164,0.997802,2718980000,2805959251
2794,Tether,USDT,8/28/2018,28,28-Aug,Aug,2018,1.00349,0.991961,0.99767,0.999395,2991530000,2810438991
2795,Tether,USDT,8/29/2018,29,29-Aug,Aug,2018,1.01503,0.991106,1.00019,1.00066,3024040000,2783976548
2796,Tether,USDT,8/30/2018,30,30-Aug,Aug,2018,1.00512,0.992116,0.999735,1.00003,2764870000,2782223800
2797,Tether,USDT,8/31/2018,31,31-Aug,Aug,2018,1.00855,0.996037,1.00151,1.00351,2659230000,2751765248
2798,Tether,USDT,9/1/2018,1,1-Sep,Sep,2018,1.00375,0.985154,1.0017,0.996813,2910380000,2733401134
2799,Tether,USDT,9/2/2018,2,2-Sep,Sep,2018,1.00766,0.993394,0.996865,0.997839,2844130000,2835998470
2800,Tether,USDT,9/3/2018,3,3-Sep,Sep,2018,1.00407,0.99301,0.995396,0.998642,2530750000,2798335029
2801,Tether,USDT,9/4/2018,4,4-Sep,Sep,2018,1.00426,0.993396,0.999627,0.999517,2758550000,2765803807
2802,Tether,USDT,9/5/2018,5,5-Sep,Sep,2018,1.03077,0.997398,0.999856,1.00795,4000180000,2778335288
2803,Tether,USDT,9/6/2018,6,6-Sep,Sep,2018,1.03331,0.989162,1.00635,1.00091,3695980000,2758930079
2804,Tether,USDT,9/7/2018,7,7-Sep,Sep,2018,1.01475,0.996252,1.00309,1.00636,2778320000,2773952578
2805,Tether,USDT,9/8/2018,8,8-Sep,Sep,2018,1.01954,0.997322,1.00628,1.00428,2345090000,2768219221
2806,Tether,USDT,9/9/2018,9,9-Sep,Sep,2018,1.0158,0.968354,1.00234,1.00498,2470930000,2770148716
2807,Tether,USDT,9/10/2018,10,10-Sep,Sep,2018,1.01088,0.995038,0.998831,1.00128,2300220000,2759949955
2808,Tether,USDT,9/11/2018,11,11-Sep,Sep,2018,1.01658,0.99645,0.99645,1.00454,2375530000,2768935890
2809,Tether,USDT,9/12/2018,12,12-Sep,Sep,2018,1.01368,0.989434,1.00316,1.00125,2512200000,2759867263
2810,Tether,USDT,9/13/2018,13,13-Sep,Sep,2018,1.00939,0.986957,1.00073,1.00635,3009780000,2773925014
